rank,followers,engagement_rate,category,potential_reach,country,channel_name,channel_id
1,3800000.0,0.58,unknown,1100000.0,afghanistan,Bindaas Tv - Funny Comedy Stories,UCDgT3ji8WmI8SnoDobzqCHg
2,1500000.0,0.58,unknown,456000.0,afghanistan,Azmir Recording,UCC0QJFYdd4Wa4_4hlDlYF_g
3,1400000.0,0.58,unknown,414000.0,afghanistan,MBC5,UCVad7F4_ZuILXyBsBj-WEnQ
4,972000.0,0.4,unknown,291600.0,afghanistan,BARONE LOVE FUNK,UC9G7A5Dhfa5f3_xVJqqQDjA
5,802000.0,0.58,unknown,240600.0,afghanistan,India's Funniest Videos,UCt3g98Qvlv7diKWcJy6QR1A
6,767000.0,0.58,unknown,230100.0,afghanistan,LemarTV,UC4TjjoiklE7zMJPN7jEqJGw
7,648000.0,0.2,unknown,194400.0,afghanistan,كومه دي,UCp6tqIJG9dQs2jAaBKQqH_A
8,551000.0,0.58,unknown,165300.0,afghanistan,Wins/Fails Videos,UCdUgq5_GUWyssgoEOMo_rHw
9,412000.0,0.58,unknown,123600.0,afghanistan,Shabake Khanda,UCvF0dhWBERzD6YH296cOVFw
10,337000.0,0.58,unknown,101100.0,afghanistan,LEMBRANÇAS MUSICAIS,UCBFKMv7Y-gjdm0GMi_ql1gA
11,336000.0,0.58,unknown,100800.0,afghanistan,moiegy,UCWUJwemS3xkwrpkW80vQcFg
12,324000.0,0.58,unknown,97200.0,afghanistan,SL Sanda,UCP0c5BYBtfVJ4qJUEYn9pEA
13,289000.0,0.9,unknown,86700.0,afghanistan,DeadLine Music,UCZWwKCj8AZiYz6ZKtmxfQsw
14,286000.0,0.58,unknown,85800.0,afghanistan,Sahara Flash Official,UCJK5_rc-flQfbvGeIRlP3-Q
15,217000.0,0.58,unknown,65099.99999999999,afghanistan,Pashton Plus,UCspIOkfGVZndGDJ7V2K1qPw
16,215000.0,0.58,unknown,64500.0,afghanistan,Watan Click,UCaR9s_3Gw5und85Rw5zaf4w
17,183000.0,0.58,unknown,54900.0,afghanistan,Toot,UCA4TrwbEMjhxOOFC8ho6vJA
18,182000.0,0.58,unknown,54600.0,afghanistan,Ro Dar Ro [Family Feud Afghanistan],UCGRY8FcPNoRVvv-THQsa0Nw
19,169000.0,0.58,unknown,50700.0,afghanistan,Azadi Radio,UCvpFmIw-T0BH8rn13CPfWlQ
20,149000.0,0.58,unknown,44700.0,afghanistan,KLionVEVO,UCj70UXxfl2Fogw0OgRN-Wag
21,143000.0,0.58,unknown,42900.0,afghanistan,ullash icp,UCTU5aTQxXABbC_rA4ZIDoFA
22,138000.0,0.58,unknown,41400.0,afghanistan,VOA Pashto,UC6RAiJqLwCQgoedNP0a2qiw
23,133000.0,0.58,unknown,39900.0,afghanistan,TOP 5 DARI/دری,UCULyRJJ806zvg4SFhqaF3QQ
24,124000.0,0.58,unknown,37200.0,afghanistan,Tembang Kenangan,UCsPuvzcEB3Am7zZpqRdJeoQ
25,115000.0,0.2,unknown,34500.0,afghanistan,Project Runway,UCH88cPPLV-DUEvH2WXVV_QA
26,108000.0,0.58,unknown,32400.0,afghanistan,Bijoy Study,UCDsGA2aP8u9SSWiZX1WvbRw
27,99600.0,0.58,unknown,29900.0,afghanistan,EL TIO RENTE,UCGXyQUE1s31Qu7hksFiQDsw
28,90000.0,0.58,unknown,27000.0,afghanistan,Afghanistan Premier League,UC7SVSIfie8pt1kgMjbUJ_vQ
29,87000.0,0.58,unknown,26100.0,afghanistan,VOA Dari,UCx8nPzCzHi127J3CkMBrSYg
30,80600.0,0.58,unknown,24200.0,afghanistan,Donia Press,UC8o0hJ5RPX6CFYJBtjcr2Eg
31,80100.0,0.58,unknown,24000.0,afghanistan,ARG1880,UCF_fUrvSVJcLabN9XRRW8kw
32,79000.0,0.58,unknown,23700.0,afghanistan,Netflix Magyarország,UCSvfcIsvn6be03soK4pw2XQ
33,75100.0,0.58,technology,22500.0,afghanistan,J TECH,UC6nhC29o23pHqftZ-Jp406g
34,59100.0,0.8,unknown,17700.0,afghanistan,الآنسة فرح,UC12h3VrpkgVRt00h0N851dw
35,56600.0,0.58,unknown,17000.0,afghanistan,YorubaBest Tv,UCrfVFZ6JyBtwIc67ncVbwIg
36,54500.0,0.58,unknown,16400.0,afghanistan,BUNDELKHAND HOME VIDEO,UCjmSL3O8UjurtTs78khjZxg
37,51100.0,0.58,unknown,15300.0,afghanistan,Netflix Česká republika,UCYanivSzoiXJcJ1MUOsKVkQ
38,46600.0,0.58,unknown,14000.0,afghanistan,Bhojpuri HD Movies,UC78Uaz8qyo-y5pALAPAwKCQ
39,46200.0,0.58,unknown,13900.0,afghanistan,Abdullah Tenin,UCYLociHwuiOP-5TeceJnSxw
40,44900.0,0.58,unknown,13500.0,afghanistan,LEGO Masters,UCnGb5xbCV8OKgf-j58n8IoQ
41,41900.0,0.58,unknown,12600.0,afghanistan,Afghanistan TV,UCM5scR56vViZ0pmavpYwXqg
42,41600.0,0.1,unknown,12500.0,afghanistan,Daily News Tech,UC6_T1FvlEwwmQTb_F_oGI0w
43,39900.0,0.58,unknown,12000.0,afghanistan,Good Oldies Song,UCPkX_y0cMktPQ3GrT5RthwQ
44,38800.0,0.58,unknown,11600.0,afghanistan,Afghan Famous,UCv27l1NCVWRHUj4hJbGIH-w
45,36700.0,0.58,unknown,11000.0,afghanistan,heratsoftware,UCWMx4MFO4gWlH4dYmlrT0Yg
46,36400.0,1.7,unknown,10900.0,afghanistan,AK47,UC9mkpqIWie0Dw1nqZ7S_wAg
47,36400.0,0.3,unknown,10900.0,afghanistan,Angel & Vario,UCjWSgRIsTxMTpEOb3CsKn9g
48,34400.0,0.58,unknown,10300.0,afghanistan,Kabulnews TV,UCgMmFt7mWJ5Ue_hP_-VJG5A
49,32200.000000000004,0.58,unknown,9700.0,afghanistan,Farid Bromand,UCzcuLLpwY1M-sanWjtBfeZQ
50,27100.0,0.58,unknown,8100.0,afghanistan,Indian Express Bangla,UCpthbAb5DDRfcG68VMn6q0g
51,26900.0,0.58,unknown,8100.0,afghanistan,Phy RAk,UCE1O7WsA0H8JSfx2Dbn9OMg
52,26200.0,0.4,unknown,7900.0,afghanistan,lil boosty,UChF-9hFpxxiKWNa6pM7Dc3A
53,25800.0,0.58,unknown,7700.0,afghanistan,Kabul Media Plus,UCvk0ft9BGaTaXVEoreGVtCQ
54,25200.0,0.58,unknown,7600.0,afghanistan,DentalManiaK,UCit_XEO1XMt0WlA_a5Y25ZA
55,25100.0,0.58,unknown,7500.0,afghanistan,Xolabaj TV2,UCGTHibrua-lSpcpGgyBCE9Q
56,24800.0,0.58,unknown,7400.0,afghanistan,Chu Diệp Anh,UCPbJYaZBJIDynXNd_Vtqfbg
57,24000.0,0.58,unknown,7200.0,afghanistan,Doctor داکتر,UC0qsaOMutKk6VoMi8c45frw
58,22700.0,0.58,music,6800.0,afghanistan,Didar Music,UCms9SuykkUS66D2wr3D2G1w
59,19600.0,0.2,unknown,5900.0,afghanistan,A Erfan,UCLroplcRBhrL_pzKN7pDehQ
60,19400.0,1.1,celebrity,5800.0,afghanistan,Pashto Entertainment Entertainment,UC5o5At6pto0EYYa0-m3GIiA
61,18900.0,0.58,unknown,5700.0,afghanistan,Pets Best Fun,UCSe4NsHq9CEwbinTZhH5oEw
62,18900.0,0.58,music,5700.0,afghanistan,TODAY PTM,UCyAwbVG39nYFTh1RJ8Ag73A
63,18500.0,0.2,unknown,5600.0,afghanistan,Travel Ethiopia-ጉዞ ኢትዮጵያ,UC3AVLFaRHhJi8TYHXuw6rYg
64,18100.0,0.58,unknown,5400.0,afghanistan,Crowleyyyy,UCvaibZQAjLeMnKloRNfIM7A
65,17600.0,0.1,unknown,5300.0,afghanistan,Green Swag,UCUbooQPiOb0tvcoC8jQEbvA
66,17400.0,0.58,unknown,5200.0,afghanistan,สหพันธรัฐไทใจเดียวกัน,UCafatHX_lK7e5nKKD9fv8lg
67,17200.0,0.3,unknown,5200.0,afghanistan,kabir khostwall,UCgeArVN-G7oPaCH8XWiJ-ag
68,17000.0,0.3,unknown,5100.0,afghanistan,yeej kim HD1080,UCaC0gNyPXC1BU0xj0GDH7KA
69,16100.000000000002,33.9,unknown,4800.0,afghanistan,Clavis,UCwOYuwj9e2lFKviz7Ibfspg
70,15400.0,0.58,unknown,4600.0,afghanistan,Larawbar.com,UCbGnZAj8xrqEx02UNZlh2_Q
71,14700.0,0.58,unknown,4400.0,afghanistan,H.H.,UCldDfGERobpud27NzSohlPg
72,13900.0,0.58,unknown,4200.0,afghanistan,کانال ساده ترین آموزشها,UCMRsuS4OuP5MHIJRAHMbUxg
73,13300.0,0.58,unknown,4000.0,afghanistan,Pashto Islami,UCzVuHmw6-BcQqXH5W40HORw
74,13200.0,0.58,unknown,4000.0,afghanistan,High Council for National Reconciliation,UCiHoMDXJQboJy1UEN-hBU9A
75,12900.0,0.6,unknown,3900.0,afghanistan,貝拉醬Bella,UCn5iCeeF4nMECDobXb3kFbQ
76,12600.0,0.58,unknown,3800.0,afghanistan,iGunvicted,UC6MamwO1MDhVfyeb01XOg5w
77,12400.0,0.58,unknown,3700.0,afghanistan,Kamsan Arom,UCKgPS2K6xmsRLIe2w-9iQHg
78,12300.0,0.1,unknown,3700.0,afghanistan,Zulfan tube,UCgpxqCBKVSaTlk4MwL7z-pA
79,12300.0,0.58,unknown,3700.0,afghanistan,૯υՆ૯Ոςƿɿ૯૭૯Ն,UCZN1eMcGegUw4V3tJ2uHAxQ
80,12000.0,0.58,unknown,3600.0,afghanistan,Criadouro Buriti,UCqqYf0hdFIDuXpcrACz6EPg
81,11500.0,0.1,unknown,3500.0,afghanistan,shahram hashemi,UCtajG3ubRg58fmkJ_FWZg2Q
82,11400.0,3.0,unknown,3400.0,afghanistan,Farhad Ghafoor,UC1sjfTwyZHjhwh6oSF5Etjg
83,11200.0,0.58,unknown,3400.0,afghanistan,꧁༒☬gobinda masih☬༒꧂,UCmzGjQcXRzNA3XcXYdDwEtA
84,10900.0,80.1,unknown,3300.0,afghanistan,XxDEATH_LORDxX,UCgVHrc1nvk7qF8qp-t-hxJg
85,10600.0,0.58,unknown,3200.0,afghanistan,saren music market,UCFzMmvIcgZlyol3SfFofeYQ
86,10600.0,0.58,unknown,3200.0,afghanistan,O que será de novo hoje ! Brinquedos resenhas vlogs,UCLjz_XFniaSx1VhP5UObj_w
87,10400.0,0.58,unknown,3100.0,afghanistan,San wel,UC3tsD0Zwajp5siNVqwupdvQ
88,10400.0,0.58,unknown,3100.0,afghanistan,Turbo Tractors,UCtchLlRh5FCP3nEKFHB4JjQ
89,10300.0,0.3,unknown,3100.0,afghanistan,RDX BOYZ MANIKA,UCLCpibvImQdJu68rMmRw-gA
90,10200.0,0.58,unknown,3100.0,afghanistan,Dr. Abdullah Abdullah,UCYr6qIfnEVYDTKfUTMDmRSg
91,10000.0,0.58,unknown,3000.0,afghanistan,Shaheen Naikpay,UC515LyLO1mkor_qylBt_uyQ
92,9800.0,0.58,unknown,2900.0,afghanistan,Torialai Waziry,UCVqiXwXu3vxocfUJlX1qRgw
93,9700.0,0.58,unknown,2900.0,afghanistan,Dirt Zalgo,UCCVulaGbHLaPJ_dyV7vF0rw
94,9300.0,0.2,unknown,2800.0,afghanistan,Real Creators,UCPZ2Ssb2d8kxwaWBYSie6cQ
95,9200.0,0.58,unknown,2800.0,afghanistan,SOMBO BMC,UCVi29qCql-2Dl_6xdjz_trQ
96,9200.0,0.3,unknown,2700.0,afghanistan,Fox Carp Fishing TV CZ&SK,UCl22B1DgtxuKusXmd5PyyUA
97,9100.0,0.58,unknown,2700.0,afghanistan,Mudasir Zamani,UC2Sr4O0Gm1dUn3f3K6dBmbw
98,9100.0,0.58,unknown,2700.0,afghanistan,Cragsman,UCxbZoIuCIud_n1pZgZiSL4w
99,8700.0,0.58,unknown,2600.0,afghanistan,Angkor Mala,UCEjddKViPwdCLoeg49wrDPw
100,8600.0,0.1,unknown,2600.0,afghanistan,sanoorg,UCOdbFr8_L4Ynf94oNbyGKGQ
1,9100000.0,6.19,cricket sports,2700000.0,afghanistan,Rashid Khan,rashid.khan19
2,5100000.0,0.58,fitness fitness and health,1500000.0,afghanistan,GYM VOGUE,thegymvogue
3,3600000.0,1.07,art,1100000.0,afghanistan,Steve McCurry,stevemccurryofficial
4,3300000.0,0.19,celebrities,993100.0,afghanistan,د. وسيم يوسف,waseem_yousef
5,3200000.0,1.71,music singer songwriting,948300.0,afghanistan,AHMAD SAEEDI / احمد سعيدي,ahmadsaeedi1
6,2200000.0,2.86,art,653100.0,afghanistan,Shakila Mohseni,shakila.music
7,1900000.0,0.35,entertainment and music romance and wedding music singer,583700.0,afghanistan,𝝠𝗥𝗬𝝠𝗡𝝠 𝗦𝝠𝗬𝗘𝗘𝗗 👑 آریانا سعید,aryanasayeedofficial
8,1700000.0,1.82,beauty and self care fashion and accessories modeling,511700.0,afghanistan,غزل سادات Ghazal Sadat,officialghazalsadat
9,1700000.0,0.86,entertainment and music music,510900.0,afghanistan,GHEZAAL ENAYAT ❤️‍🔥🎙غزال عنایت,ghezaalmusic
10,1500000.0,8.86,sports,459600.0,afghanistan,Rahmanullah Gurbaz,rahmanullah.gurbaz
11,1400000.0,0.79,unknown,434200.0,afghanistan,Zainab Ameeri,zainab_ameeri
12,1400000.0,2.6,art,426800.0,afghanistan,ApoRed,apored
