conversion_id,post_id,campaign_id,influencer_id,order_value,customer_ltv,touchpoint_number,discount_code_used,attribution_weight,conversion_date
CONV_0000001,POST_000001,CAMP_0001,INF_0046,342.95,2728.19,2,0,0.5,2023-11-17
CONV_0000002,POST_000001,CAMP_0001,INF_0046,403.11,2396.42,2,1,0.5,2023-11-17
CONV_0000003,POST_000001,CAMP_0001,INF_0046,287.74,1444.45,1,0,1.0,2023-11-17
CONV_0000004,POST_000001,CAMP_0001,INF_0046,114.76,757.53,4,0,0.25,2023-11-17
CONV_0000005,POST_000001,CAMP_0001,INF_0046,407.31,1886.11,2,0,0.5,2023-11-17
CONV_0000006,POST_000001,CAMP_0001,INF_0046,66.75,191.72,2,0,0.5,2023-11-17
CONV_0000007,POST_000001,CAMP_0001,INF_0046,326.19,1211.06,2,0,0.5,2023-11-17
CONV_0000008,POST_000001,CAMP_0001,INF_0046,401.56,2502.49,3,0,0.3333,2023-11-17
CONV_0000009,POST_000001,CAMP_0001,INF_0046,146.75,1050.02,1,0,1.0,2023-11-17
CONV_0000010,POST_000001,CAMP_0001,INF_0046,360.14,2021.1,1,0,1.0,2023-11-17
CONV_0000011,POST_000001,CAMP_0001,INF_0046,46.09,338.14,3,0,0.3333,2023-11-17
CONV_0000012,POST_000001,CAMP_0001,INF_0046,219.12,666.53,1,0,1.0,2023-11-17
CONV_0000013,POST_000001,CAMP_0001,INF_0046,113.5,681.81,4,0,0.25,2023-11-17
CONV_0000014,POST_000001,CAMP_0001,INF_0046,364.79,1680.74,1,0,1.0,2023-11-17
CONV_0000015,POST_000001,CAMP_0001,INF_0046,439.0,956.48,4,0,0.25,2023-11-17
CONV_0000016,POST_000001,CAMP_0001,INF_0046,291.42,918.26,3,0,0.3333,2023-11-17
CONV_0000017,POST_000001,CAMP_0001,INF_0046,76.23,263.79,1,1,1.0,2023-11-17
CONV_0000018,POST_000001,CAMP_0001,INF_0046,474.4,1191.39,1,0,1.0,2023-11-17
CONV_0000019,POST_000001,CAMP_0001,INF_0046,433.64,2810.17,1,1,1.0,2023-11-17
CONV_0000020,POST_000001,CAMP_0001,INF_0046,233.17,962.95,3,1,0.3333,2023-11-17
CONV_0000021,POST_000002,CAMP_0001,INF_0006,113.17,891.52,1,0,1.0,2023-12-04
CONV_0000022,POST_000002,CAMP_0001,INF_0006,45.75,355.93,1,0,1.0,2023-12-04
CONV_0000023,POST_000002,CAMP_0001,INF_0006,128.63,282.12,4,0,0.25,2023-12-04
CONV_0000024,POST_000002,CAMP_0001,INF_0006,68.64,544.48,4,0,0.25,2023-12-04
