engagement_id,post_id,comment_sentiment,commenter_follower_count,commenter_account_age_days,like_velocity_per_hour,engagement_spike_detected,bot_probability
ENG_00000001,POST_000001,positive,3490,314,253,0,0.13
ENG_00000002,POST_000001,neutral,330,861,284,0,0.031
ENG_00000003,POST_000001,positive,3020,1498,286,0,0.01
ENG_00000004,POST_000001,positive,2780,1080,371,0,0.022
ENG_00000005,POST_000001,positive,3087,670,136,0,0.087
ENG_00000006,POST_000001,neutral,4271,514,154,0,0.024
ENG_00000007,POST_000001,positive,1263,373,249,0,0.136
ENG_00000008,POST_000001,neutral,2845,1325,32,0,0.01
ENG_00000009,POST_000001,positive,2292,1051,229,0,0.082
ENG_00000010,POST_000001,neutral,1804,188,427,0,0.131
ENG_00000011,POST_000001,positive,1342,1795,273,0,0.051
ENG_00000012,POST_000001,positive,3884,546,255,0,0.113
ENG_00000013,POST_000001,positive,4688,1841,341,0,0.033
ENG_00000014,POST_000002,positive,3139,1840,388,0,0.107
ENG_00000015,POST_000002,positive,1130,1971,275,0,0.056
ENG_00000016,POST_000002,positive,972,668,12,0,0.121
ENG_00000017,POST_000002,positive,1660,195,284,0,0.137
ENG_00000018,POST_000002,negative,1124,1994,379,0,0.126
ENG_00000019,POST_000002,neutral,1933,1317,452,0,0.107
ENG_00000020,POST_000002,positive,4063,1804,253,0,0.07
ENG_00000021,POST_000002,negative,1049,427,459,0,0.114
ENG_00000022,POST_000003,positive,1150,1599,385,0,0.072
ENG_00000023,POST_000003,neutral,3294,586,10,0,0.117
ENG_00000024,POST_000003,positive,3725,349,84,0,0.011
ENG_00000025,POST_000003,negative,2382,468,109,0,0.044
ENG_00000026,POST_000003,positive,1874,1999,357,0,0.145
ENG_00000027,POST_000003,positive,4060,1918,430,0,0.104
ENG_00000028,POST_000003,positive,3947,372,397,0,0.093
ENG_00000029,POST_000004,neutral,3599,426,357,0,0.087
ENG_00000030,POST_000004,neutral,987,950,196,0,0.106
ENG_00000031,POST_000004,positive,3366,1004,404,0,0.068
ENG_00000032,POST_000004,positive,3193,1253,447,0,0.035
ENG_00000033,POST_000004,positive,2279,212,18,0,0.092
ENG_00000034,POST_000004,positive,1422,1867,439,0,0.042
ENG_00000035,POST_000004,positive,3211,1577,374,0,0.055
ENG_00000036,POST_000004,neutral,1740,1602,103,0,0.019
ENG_00000037,POST_000004,positive,722,1736,142,0,0.037
ENG_00000038,POST_000004,neutral,208,1119,20,0,0.054
ENG_00000039,POST_000004,positive,2092,1042,35,0,0.114
ENG_00000040,POST_000004,positive,4906,414,52,0,0.136
ENG_00000041,POST_000004,positive,887,269,45,0,0.06
ENG_00000042,POST_000004,negative,1340,1038,14,0,0.005
ENG_00000043,POST_000004,positive,3387,894,296,0,0.086
ENG_00000044,POST_000005,neutral,3939,868,316,0,0.068
ENG_00000045,POST_000005,neutral,1765,631,173,0,0.043
ENG_00000046,POST_000005,neutral,1795,913,261,0,0.134
ENG_00000047,POST_000005,neutral,983,760,302,0,0.06
ENG_00000048,POST_000005,neutral,2165,967,134,0,0.146
ENG_00000049,POST_000005,neutral,3484,1477,208,0,0.128
ENG_00000050,POST_000006,negative,1376,226,458,0,0.031
ENG_00000051,POST_000006,negative,4153,1598,81,0,0.123
ENG_00000052,POST_000006,positive,3088,479,408,0,0.078
ENG_00000053,POST_000006,positive,4513,862,145,0,0.129
ENG_00000054,POST_000006,neutral,1463,1655,265,0,0.1
ENG_00000055,POST_000006,positive,422,1840,27,0,0.103
ENG_00000056,POST_000006,neutral,1257,222,289,0,0.059
ENG_00000057,POST_000006,positive,2591,1545,392,0,0.057
