post_id,campaign_id,influencer_id,post_date,post_type,impressions,reach,likes,comments,shares,saves,click_throughs,conversions,revenue_attributed,is_fraud_account,sponsored_tag,budget_allocated
POST_000001,CAMP_0001,INF_0046,2023-11-17,post,16320,14561,424,58,25,26,800,251,8884.13,0,1,343.0
POST_000002,CAMP_0001,INF_0006,2023-12-04,carousel,140064,102701,8158,1096,451,572,1448,202,8815.78,0,1,343.0
POST_000003,CAMP_0001,INF_0047,2023-11-27,carousel,49793,40134,5869,764,280,214,763,162,17611.13,0,1,343.0
POST_000004,CAMP_0001,INF_0081,2023-11-17,carousel,36005,32098,1398,188,67,100,205,26,4357.89,0,0,343.0
POST_000005,CAMP_0001,INF_0073,2023-11-05,video,6466,5235,151,15,6,7,251,34,2434.56,0,0,343.0
POST_000006,CAMP_0001,INF_0040,2023-11-28,story,31571,23969,1544,197,71,110,1558,173,22173.53,0,0,343.0
POST_000007,CAMP_0001,INF_0082,2023-11-25,video,62177,52164,1622,233,87,21,1274,476,28451.78,0,1,343.0
POST_000008,CAMP_0001,INF_0075,2023-11-19,post,172915,157756,15498,1224,387,481,6370,104,16458.08,0,1,343.0
POST_000009,CAMP_0001,INF_0058,2023-11-11,story,14214,10672,158180,63,40,8742,660,4,50.73,1,1,343.0
POST_000010,CAMP_0001,INF_0005,2023-12-01,reel,22534,16833,2319,83,66,146,847,319,42266.46,0,0,343.0
POST_000011,CAMP_0001,INF_0035,2023-12-04,reel,57762,51218,6394,424,354,401,2665,118,22339.42,0,0,343.0
POST_000012,CAMP_0002,INF_0040,2023-10-14,story,112138,94008,6399,509,243,325,4194,123,19189.59,0,1,347.62
POST_000013,CAMP_0002,INF_0024,2023-11-04,story,18485,14128,794,78,17,53,896,291,41113.46,0,1,347.62
POST_000014,CAMP_0002,INF_0033,2023-11-11,carousel,49553,46955,4930,248,226,379,1416,260,15934.91,0,0,347.62
POST_000015,CAMP_0002,INF_0029,2023-10-18,reel,217335,164018,20958,1665,1092,878,1677,128,5318.98,0,1,347.62
POST_000016,CAMP_0002,INF_0047,2023-10-31,story,137706,96984,2845,273,30,190,4865,281,42929.15,0,0,347.62
POST_000017,CAMP_0002,INF_0065,2023-10-22,video,39770,28624,2880,169,118,222,1020,139,23433.52,0,0,347.62
POST_000018,CAMP_0002,INF_0031,2023-10-15,reel,87270,69931,7715,1016,329,280,2305,449,63076.44,0,0,347.62
POST_000019,CAMP_0002,INF_0036,2023-10-17,carousel,75755,70436,5301,435,260,138,3451,299,58647.64,0,1,347.62
POST_000020,CAMP_0002,INF_0089,2023-10-19,story,18823,13249,516,72,28,12,216,298,42279.81,0,1,347.62
POST_000021,CAMP_0002,INF_0047,2023-10-31,story,71911,57238,2606,153,134,161,2917,209,30325.05,0,0,347.62
POST_000022,CAMP_0002,INF_0081,2023-11-07,carousel,146428,137454,7992,333,172,301,5829,48,4219.24,0,0,347.62
POST_000023,CAMP_0002,INF_0073,2023-10-19,carousel,89088,77076,10624,944,295,169,2925,491,46066.89,0,0,347.62
POST_000024,CAMP_0002,INF_0077,2023-10-24,story,54597,39672,2554,193,125,26,1030,88,13705.24,0,1,347.62
POST_000025,CAMP_0003,INF_0077,2023-09-27,video,16237,14528,475,48,12,28,490,207,6644.27,0,0,3406.43
POST_000026,CAMP_0003,INF_0011,2023-09-16,post,125809,101737,11138,560,261,439,3370,147,16733.17,0,0,3406.43
POST_000027,CAMP_0003,INF_0009,2023-09-18,story,48781,34229,2178,228,86,82,2091,110,11862.01,0,1,3406.43
POST_000028,CAMP_0003,INF_0044,2023-09-18,story,263328,205439,16858,1376,862,1286,3696,343,67097.08,0,1,3406.43
POST_000029,CAMP_0003,INF_0056,2023-10-09,post,66607,52051,7784,505,348,230,2688,261,50769.65,0,1,3406.43
POST_000030,CAMP_0003,INF_0052,2023-10-14,video,42659,39917,1705,255,32,42,1744,403,49777.29,0,0,3406.43
POST_000031,CAMP_0003,INF_0011,2023-10-05,post,264391,232349,26308,2913,446,1716,2201,165,11738.69,0,1,3406.43
POST_000032,CAMP_0004,INF_0059,2023-05-12,carousel,11853,10188,192513,14,28,3070,469,5,139.55,1,1,7182.33
POST_000033,CAMP_0004,INF_0054,2023-05-25,story,15600,14686,61612,82,46,2472,85,5,114.67,1,1,7182.33
POST_000034,CAMP_0004,INF_0093,2023-05-09,carousel,49334,43049,3546,353,137,72,2461,238,22276.88,0,1,7182.33
POST_000035,CAMP_0005,INF_0011,2023-09-02,reel,268068,217012,14698,1046,723,863,5187,276,30938.89,0,1,2762.25
POST_000036,CAMP_0005,INF_0042,2023-09-16,post,16661,13811,524,69,22,25,331,356,59099.03,0,1,2762.25
POST_000037,CAMP_0005,INF_0097,2023-09-10,carousel,59120,54436,3577,186,150,148,1438,231,22464.52,0,0,2762.25
POST_000038,CAMP_0005,INF_0012,2023-09-12,carousel,8519,6361,103945,45,50,3411,217,0,0.0,1,1,2762.25
POST_000039,CAMP_0006,INF_0068,2023-12-03,story,95327,88622,5223,686,213,268,3359,426,61561.31,0,1,4740.0
POST_000040,CAMP_0006,INF_0049,2023-11-12,carousel,16240,12925,514,38,8,11,545,208,21028.93,0,0,4740.0
POST_000041,CAMP_0006,INF_0097,2023-11-19,reel,59222,48630,2894,151,150,68,1319,327,12790.25,0,1,4740.0
POST_000042,CAMP_0006,INF_0032,2023-12-03,post,112126,86675,6902,902,237,201,3273,52,6558.12,0,0,4740.0
POST_000043,CAMP_0006,INF_0039,2023-11-16,carousel,155123,140513,14620,1782,548,521,6517,67,8533.21,0,0,4740.0
POST_000044,CAMP_0007,INF_0077,2023-06-10,post,324365,244074,21075,1513,1071,1298,11680,234,41441.25,0,1,8673.86
POST_000045,CAMP_0007,INF_0045,2023-06-15,carousel,43221,36076,4256,543,213,138,1585,301,26981.23,0,1,8673.86
POST_000046,CAMP_0007,INF_0022,2023-07-01,video,79496,73906,8410,1246,369,668,3499,58,3076.91,0,0,8673.86
POST_000047,CAMP_0007,INF_0043,2023-06-19,video,230973,169890,10386,1198,534,563,7680,399,69188.38,0,1,8673.86
POST_000048,CAMP_0007,INF_0074,2023-07-06,story,35161,28609,3497,427,105,154,1096,393,30378.26,0,0,8673.86
POST_000049,CAMP_0007,INF_0066,2023-06-20,post,15401,12685,143905,18,39,4691,273,3,43.07,1,0,8673.86
POST_000050,CAMP_0007,INF_0025,2023-07-02,video,184549,129935,18239,2504,877,1369,2234,33,1548.61,0,1,8673.86
POST_000051,CAMP_0008,INF_0001,2024-01-15,post,55187,39345,5941,244,166,319,2078,52,4847.1,0,0,4103.33
POST_000052,CAMP_0008,INF_0096,2024-01-03,video,113476,79696,10254,308,346,601,4739,77,10081.26,0,1,4103.33
POST_000053,CAMP_0008,INF_0021,2023-12-29,story,66140,48565,1791,136,83,114,2572,62,2947.74,0,0,4103.33
POST_000054,CAMP_0008,INF_0069,2023-12-29,post,237513,203553,8143,762,84,167,5587,342,19801.74,0,1,4103.33
POST_000055,CAMP_0008,INF_0014,2024-01-17,video,105007,81761,11514,538,186,227,1833,383,36494.32,0,0,4103.33
POST_000056,CAMP_0008,INF_0065,2024-01-14,story,58372,43858,4669,480,228,245,787,363,12545.33,0,1,4103.33
POST_000057,CAMP_0009,INF_0030,2024-01-04,video,143389,134586,8414,1099,261,537,824,289,42222.94,0,0,1743.64
POST_000058,CAMP_0009,INF_0006,2024-01-02,carousel,3147,2806,75,2,3,2,72,269,21171.09,0,0,1743.64
POST_000059,CAMP_0009,INF_0090,2023-12-23,carousel,22594,19398,630,88,36,43,805,89,10785.58,0,0,1743.64
POST_000060,CAMP_0009,INF_0096,2023-12-14,video,87028,74241,8093,1064,104,112,3043,54,10108.08,0,0,1743.64
POST_000061,CAMP_0009,INF_0050,2024-01-05,story,7276,5396,245,7,8,4,292,187,22236.34,0,1,1743.64
POST_000062,CAMP_0009,INF_0012,2023-12-19,carousel,17639,15114,57695,52,32,2580,493,2,40.95,1,0,1743.64
POST_000063,CAMP_0009,INF_0050,2024-01-03,reel,164332,124415,6029,294,293,275,1147,467,59572.9,0,0,1743.64
POST_000064,CAMP_0009,INF_0060,2024-01-05,video,16996,12851,958,134,18,26,785,449,16169.3,0,1,1743.64
POST_000065,CAMP_0009,INF_0053,2024-01-05,carousel,87682,82890,6764,299,295,519,710,36,2177.59,0,1,1743.64
POST_000066,CAMP_0009,INF_0098,2023-12-20,carousel,123660,110815,12920,895,486,798,1968,14,1298.03,0,1,1743.64
POST_000067,CAMP_0009,INF_0099,2023-12-18,post,215328,151072,25791,3175,1202,998,3334,289,46032.49,0,1,1743.64
POST_000068,CAMP_0010,INF_0064,2023-06-16,reel,18287,15456,2006,185,90,91,615,200,21587.57,0,1,2653.93
POST_000069,CAMP_0010,INF_0070,2023-06-03,video,20131,17618,528,57,8,32,388,159,11824.59,0,1,2653.93
